Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s),label_code,label_desc,source_file,global_index
4.747364751,-3.75784564,2.632335186,-2.575222492,5.261403166,-0.2656501234,0.2667153776,-0.1230379492,0.3960371417,6.269999981,PLN,Normal Riding,PLN_R_1.csv,135
4.78224246,-4.821311951,-1.687447309,-1.081192017,5.221254976,0.06977476925,0.3402185738,0.07070687413,0.3544244044,6.269999981,PLN,Normal Riding,PLN_R_1.csv,136
4.817128606,-13.19209862,4.596570015,2.006120682,14.11327184,-0.3391533196,0.1420795321,0.07709845901,0.3757069869,6.269999981,PLN,Normal Riding,PLN_R_1.csv,137
4.852230272,-0.7117029428,-5.914942741,-1.953827381,6.269809419,-0.006924213842,-0.2327601016,0.3380880356,0.4105225078,6.269999981,PLN,Normal Riding,PLN_R_1.csv,138
4.886898449,0.6256409883,4.774349689,-1.524512291,5.050740473,0.0878842473,0.2166479975,-0.01344895363,0.2341812761,6.269999981,PLN,Normal Riding,PLN_R_1.csv,139
4.921893814,-10.93777084,13.3743,-2.919400692,17.52226104,0.8004124761,0.3977428079,-0.5150549412,1.031572133,6.269999981,PLN,Normal Riding,PLN_R_1.csv,140
4.956865064,-15.165411,10.31080532,-13.96211624,23.04871118,-0.09946899116,0.01744369231,-0.2838927507,0.3013195256,6.269999981,PLN,Normal Riding,PLN_R_1.csv,141
4.991854803,-1.059124947,1.43528676,-1.158855438,2.127143546,-0.1932121962,0.5149217844,0.004660528619,0.5499973794,6.269999981,PLN,Normal Riding,PLN_R_1.csv,142
0.046359379,3.001631498,-2.732147932,-1.080336571,4.200184648,0.1379516423,0.1836248189,-0.01451421715,0.2301290773,11.1111,DN,Normal Deceleration,DN_40_3.csv,143
0.080939379,-2.277647257,5.100311279,-8.073792458,9.817686938,0.2114548385,-0.04101264849,-0.1400821656,0.2569400693,11.030098039588236,DN,Normal Deceleration,DN_40_3.csv,144
0.115881671,-0.01788377762,10.51067638,-5.7866292,11.99832136,0.09108003974,-0.3808317482,0.1708416492,0.4272180511,10.94909607917647,DN,Normal Deceleration,DN_40_3.csv,145
